City,Country,Wind Speed,Cloudiness,Max Temperature,Humidity,Lattitude,Longitude,Date
Jamestown,US,6.91,1,73.04,73,42.097,-79.2353,1627264019
Barrow,US,18.41,90,39.22,95,71.2906,-156.7887,1627264090
Puerto Ayora,EC,7,3,71.55,88,-0.7393,-90.3518,1627264101
Alyangula,AU,10.36,66,82.27,44,-13.8483,136.4192,1627264435
Tonota,BW,7.65,0,41.7,83,-21.4833,27.4833,1627264631
Castro,BR,3.51,5,54.99,61,-24.7911,-50.0119,1627264140
New Norfolk,AU,3.24,100,53.1,84,-42.7826,147.0587,1627264092
Boysun,UZ,3.71,0,85.55,19,38.2061,67.1986,1627264631
Ushuaia,AR,4.61,40,33.46,86,-54.8,-68.3,1627264073
Bluff,NZ,1.52,100,48.79,84,-46.6,168.3333,1627264078
Wanning,CN,3.27,87,85.17,76,18.8003,110.3967,1627264632
Nísia Floresta,BR,6.29,15,75.58,94,-6.0911,-35.2086,1627264632
Bathsheba,BB,13.8,75,79.41,89,13.2167,-59.5167,1627264632
Nola,IT,0.29,88,81.93,66,40.922,14.5329,1627264633
Severo-Kuril'sk,RU,3.49,74,59.34,88,50.6789,156.125,1627264169
Mar del Plata,AR,5.99,40,48.22,58,-38.0023,-57.5575,1627263900
Tiksi,RU,8.88,83,56.1,79,71.6872,128.8694,1627264074
Hermanus,ZA,9.51,100,51.8,51,-34.4187,19.2345,1627264079
Faanui,PF,8.75,48,78.06,67,-16.4833,-151.75,1627264176
Vardø,NO,21.41,65,45.9,76,70.3705,31.1107,1627264158
Rikitea,PF,6.02,22,71.51,73,-23.1203,-134.9692,1627264069
Port Alfred,ZA,11.9,43,59.74,31,-33.5906,26.891,1627264117
Narsaq,GL,1.34,100,46.62,62,60.9167,-46.05,1627264096
Cabo San Lucas,MX,7,1,92.52,66,22.8909,-109.9124,1627264634
Bredasdorp,ZA,5.75,100,51.28,66,-34.5322,20.0403,1627264098
Buala,SB,8.46,23,83.97,74,-8.145,159.5921,1627264414
Channel-Port aux Basques,CA,6.44,12,55.8,88,47.5702,-59.1367,1627264278
Bengkulu,ID,2.51,0,81.16,63,-3.8004,102.2655,1627264204
Saint-Philippe,RE,11.5,58,65.75,70,-21.3585,55.7679,1627264106
Spearfish,US,1.99,1,89.82,38,44.4908,-103.8594,1627264448
Kapaa,US,4,40,87.78,78,22.0752,-159.319,1627264065
Saint George,US,5.99,20,87.33,56,37.1041,-113.5841,1627264124
Chui,UY,4.9,3,58.37,97,-33.6971,-53.4616,1627264208
Ubari,LY,9.44,0,78.55,26,26.5921,12.7805,1627264635
Mayo,US,1.99,1,84.61,83,38.8876,-76.5119,1627264227
Abu Dhabi,AE,2.3,91,96.91,55,24.4667,54.3667,1627264550
Somerset,US,1.01,36,81.09,88,40.5668,-74.5496,1627264532
Esperance,AU,22.48,3,57.04,72,-33.8667,121.9,1627264177
Hong Kong,HK,1.01,47,90.97,82,22.2855,114.1577,1627264150
Cape Town,ZA,1.14,0,62.11,32,-33.9258,18.4232,1627264067
Saint Paul Harbor,US,8.05,1,54.91,82,57.79,-152.4072,1627264076
Mataura,NZ,1.57,100,48.47,88,-46.1927,168.8643,1627264070
Albany,US,4.09,0,72.25,94,42.6001,-73.9662,1627263852
Brodick,GB,1.3,67,58.84,82,55.5754,-5.1472,1627264636
Kattivākkam,IN,15.19,100,84.29,63,13.2167,80.3167,1627264637
Berlevåg,NO,16.89,100,45.25,82,70.8578,29.0864,1627264157
Cidreira,BR,5.39,83,67.53,70,-30.1811,-50.2056,1627264148
Atuona,PF,24.85,6,78.28,71,-9.8,-139.0333,1627264123
Punta Arenas,CL,16.11,0,33.91,93,-53.15,-70.9167,1627264080
Lagoa,PT,11.65,9,68.85,84,39.05,-27.9833,1627264141
Nikolskoye,RU,4.34,89,63.81,62,59.7035,30.7861,1627264109
Ribeira Grande,PT,15.23,5,70.23,84,38.5167,-28.7,1627264100
Iracoubo,GF,6.24,100,76.68,88,5.4802,-53.2011,1627264637
Jipijapa,EC,4.12,75,69.3,92,-1.3333,-80.5833,1627264638
Fortuna,US,4,90,57.92,90,40.5982,-124.1573,1627264217
Dingle,PH,15.97,95,86.67,67,10.9995,122.6711,1627264066
Kribi,CM,6.04,96,75.54,86,2.95,9.9167,1627264638
San Rafael,AR,6.08,34,46.96,45,-34.6177,-68.3301,1627264639
Mount Gambier,AU,17.27,75,57.11,88,-37.8333,140.7667,1627264138
Torbay,CA,11.5,90,56.57,93,47.6666,-52.7314,1627264096
Ostrovnoy,RU,19.26,88,45.52,83,68.0531,39.5131,1627263904
Denpasar,ID,6.91,40,76.66,88,-8.65,115.2167,1627264383
Beroroha,MG,4.29,6,56.89,70,-21.6667,45.1667,1627264639
São João da Barra,BR,14.32,0,69.66,75,-21.6403,-41.0511,1627263970
Phonhong,LA,2.04,100,80.42,97,18.5007,102.4166,1627264640
East London,ZA,6.51,32,58.69,26,-33.0153,27.9116,1627264222
Rongcheng,CN,11.79,100,77.85,96,30.634,117.8517,1627264640
Butaritari,KI,15.84,99,78.96,87,3.0707,172.7902,1627264064
Dwārka,IN,23.96,100,81.9,85,22.2394,68.9678,1627264202
Yellowknife,CA,1.01,20,60.3,47,62.456,-114.3525,1627263864
Emerald,AU,13.8,29,69.35,28,-23.5333,148.1667,1627264285
Arraial do Cabo,BR,25.99,0,69.8,77,-22.9661,-42.0278,1627264124
Hilo,US,8.05,90,78.53,91,19.7297,-155.09,1627264405
Constantine,DZ,2.3,40,85.41,26,36.365,6.6147,1627264641
Aripuanã,BR,1.3,5,76.1,52,-9.1667,-60.6333,1627264415
Capão da Canoa,BR,5.68,99,67.55,69,-29.7456,-50.0097,1627264641
Zhigansk,RU,2.95,3,74.28,55,66.7697,123.3711,1627264013
Sola,VU,10.76,18,80.33,78,-13.8833,167.55,1627264095
Mogzon,RU,4.85,100,61.2,71,51.7435,111.9606,1627264642
Yangambi,CD,3.8,71,71.35,86,0.8102,24.4336,1627264642
Thompson,CA,6.91,75,62.76,42,55.7435,-97.8558,1627263856
Cockburn Town,TC,16.49,100,82.13,83,21.4612,-71.1419,1627264085
Choma,ZM,8.68,0,44.26,74,-16.8065,26.9531,1627264642
Tuatapere,NZ,0.45,100,48.81,93,-46.1333,167.6833,1627264150
Kaitangata,NZ,4.68,100,47.53,92,-46.2817,169.8464,1627264099
Lebu,CL,17.6,26,48.42,82,-37.6167,-73.65,1627264122
Lata,PT,2.95,98,66.04,97,40.1629,-8.3327,1627264394
Kloulklubed,PW,17.31,100,81.1,78,7.0419,134.2556,1627264159
Santiago del Estero,AR,6.51,2,54.81,49,-27.7951,-64.2615,1627264643
Vestmannaeyjar,IS,17.34,100,50.67,78,63.4427,-20.2734,1627264114
Maragogi,BR,11.16,18,73.54,87,-9.0122,-35.2225,1627264356
Hithadhoo,MV,5.84,100,80.98,75,-0.6,73.0833,1627264082
Leh,IN,6.17,71,70.48,43,34.1667,77.5833,1627264136
Sydney,AU,1.01,75,67.6,53,-33.8679,151.2073,1627264543
Kroya,ID,2.71,12,78.44,71,-7.6331,109.2461,1627264644
Vaini,TO,9.22,20,80.76,83,-21.2,-175.2,1627264072
Vanavara,RU,5.37,81,78.24,40,60.34,102.2797,1627263777
Lavrentiya,RU,3.04,100,44.58,98,65.5833,-171,1627264164
Oleksandrivka,UA,4.29,93,69.57,65,48.9634,32.2349,1627264644
Big Rapids,US,0,1,71.91,74,43.6981,-85.4837,1627264645
Whitley Bay,GB,4.61,20,59.2,98,55.0397,-1.4471,1627264645
Ahipara,NZ,13.73,66,59.11,82,-35.1667,173.1667,1627264099
Ossora,RU,6.67,96,62.33,85,59.2353,163.0719,1627264164
Ichnya,UA,3.71,11,62.51,78,50.8626,32.3942,1627264646
Huilong,CN,29.53,100,81.03,94,31.8111,121.655,1627264217
Jinchang,CN,14.54,100,76.69,37,38.4953,102.1739,1627264437
Broken Hill,AU,12.66,0,56.91,54,-31.95,141.4333,1627263881
Palmer,US,0,75,74.01,83,42.1584,-72.3287,1627264142
Adeje,ES,2.3,0,72.21,48,28.1227,-16.726,1627264646
Benguela,AO,3.47,4,68.68,78,-12.5763,13.4055,1627264201
Richards Bay,ZA,6.96,0,54.68,86,-28.783,32.0377,1627264266
Aklavik,CA,12.86,100,56.23,80,68.2191,-135.0107,1627264206
Mahon,ES,5.75,0,70.36,83,39.8885,4.2658,1627264286
Saskylakh,RU,16.37,89,59.65,56,71.9167,114.0833,1627264075
Talnakh,RU,3.47,99,59.67,89,69.4865,88.3972,1627264448
George Town,MY,0,20,85.95,83,5.4112,100.3354,1627264066
Iqaluit,CA,5.99,75,49.73,81,63.7506,-68.5145,1627263881
Dikson,RU,7.67,37,44.71,72,73.5069,80.5464,1627264174
Hamilton,US,2.98,88,79.99,82,39.1834,-84.5333,1627264570
Kambove,CD,7.43,96,49.3,62,-10.8764,26.5969,1627264647
Chokurdakh,RU,8.72,39,54.23,43,70.6333,147.9167,1627264160
Barguzin,RU,1.34,95,73.2,53,53.6167,109.6167,1627264648
Norman Wells,CA,13.8,75,71.64,56,65.282,-126.8329,1627264102
Half Moon Bay,US,10.36,20,83.91,68,37.4636,-122.4286,1627263970
Odienné,CI,3,88,69.13,98,9.51,-7.5692,1627264648
Tuktoyaktuk,CA,9.22,75,48.2,87,69.4541,-133.0374,1627264071
Alofi,NU,5.75,7,82.29,69,-19.0595,-169.9187,1627264224
Sirte,LY,10.87,0,78.75,69,31.2089,16.5887,1627264263
Itoman,JP,14.97,75,86.38,89,26.1247,127.6694,1627264649
Labuhan,ID,5.5,3,81.05,64,-6.8844,112.2051,1627264358
Mabaruma,GY,2.1,99,71.62,99,8.2,-59.7833,1627264117
Clyde River,CA,3.44,90,34.03,100,70.4692,-68.5914,1627264081
Hualmay,PE,9.71,12,63.39,85,-11.0964,-77.6139,1627264650
Saldanha,ZA,20.89,100,62.91,41,-33.0117,17.9442,1627264252
Romitan,UZ,13.8,0,82.35,30,39.9343,64.3814,1627264650
Mahdalynivka,UA,7.49,80,64.96,56,48.921,34.9156,1627264650
Biak,ID,6.55,63,80.56,73,-0.9131,122.8766,1627264126
Port Elizabeth,ZA,4.61,0,43.09,81,-33.918,25.5701,1627264181
Naze,JP,17.16,100,81.52,90,28.3667,129.4833,1627264264
Ruteng,ID,0.96,7,72.75,39,-8.6136,120.4721,1627264464
Guerrero Negro,MX,16.4,1,70.02,77,27.9769,-114.0611,1627264091
Turukhansk,RU,5.55,76,74.84,53,65.8167,87.9833,1627264207
Cherskiy,RU,13.35,0,54.93,46,68.75,161.3,1627264179
Whitehorse,CA,4,75,69.03,37,60.7161,-135.0538,1627264246
Laguna,US,5.99,1,101.44,31,38.421,-121.4238,1627264088
Maniitsoq,GL,10.13,100,46.36,75,65.4167,-52.9,1627264475
Miyako,JP,7.49,29,77.09,66,39.6367,141.9525,1627264288
Hobart,AU,9.22,40,53.46,66,-42.8794,147.3294,1627264095
Les Cayes,HT,4.5,56,78.44,85,18.2,-73.75,1627264552
Salta,AR,1.01,75,59.59,59,-24.7859,-65.4117,1627264652
Jizan,SA,8.14,68,81.54,76,17.3333,42.6667,1627264413
Novikovo,RU,3.38,0,59.99,66,51.1537,37.8879,1627264652
San Joaquin,US,12.73,100,97.11,30,37.9333,-121.3011,1627264652
Kapoeta,SS,9.48,99,70.54,63,4.7717,33.5903,1627264226
Sompeta,IN,6.78,79,86.56,68,18.9333,84.6,1627264653
Meulaboh,ID,2.75,86,81.18,76,4.1363,96.1285,1627264199
The Pas,CA,2.84,90,64.42,82,53.8251,-101.2541,1627264388
Sasovo,RU,4.38,56,58.46,59,54.3537,41.9199,1627264443
Deltona,US,0,40,83.23,89,28.9005,-81.2637,1627264438
Flers,FR,4.47,99,59.25,99,48.7372,-0.5747,1627264653
Weligama,LK,11.54,90,79.52,86,5.9667,80.4167,1627264469
Sambava,MG,12.46,7,65.68,84,-14.2667,50.1667,1627264654
Adjumani,UG,1.77,100,66.81,89,3.3779,31.7909,1627264654
Aldan,RU,7,2,67.3,58,58.6031,125.3894,1627264240
Bowen,AU,11.77,41,75.42,39,-20.0167,148.2333,1627264087
Mossamedes,AO,7.09,0,68.97,62,-15.1961,12.1522,1627264201
Torrington,US,2.44,3,73.78,95,41.8007,-73.1212,1627264655
Raymond Terrace,AU,20.71,20,67.95,45,-32.75,151.75,1627264655
Bandarbeyla,SO,23.89,80,76.57,79,9.4942,50.8122,1627264242
Khakhea,BW,9.26,55,41.85,67,-24.6895,23.494,1627264656
Longyearbyen,SJ,8.05,75,44.44,87,78.2186,15.6401,1627264125
Fort-Shevchenko,KZ,14.25,0,81.23,64,44.5086,50.263,1627264425
Qaanaaq,GL,1.36,100,38.91,69,77.484,-69.3632,1627264103
Chumikan,RU,5.7,43,74.44,59,54.7183,135.315,1627264656
Mahébourg,MU,10.36,75,70.09,64,-20.4081,57.7,1627264072
Coyhaique,CL,3.44,0,31.95,80,-45.5752,-72.0662,1627264274
Busselton,AU,25.17,1,64.04,71,-33.65,115.3333,1627264075
Carballo,ES,1.79,95,63.55,93,43.213,-8.691,1627264657
Ladispoli,IT,13.42,100,87.3,64,41.9537,12.0735,1627264657
Sakaiminato,JP,8.05,20,87.78,58,35.55,133.2333,1627264657
Provideniya,RU,4.47,90,50.11,81,64.3833,-173.3,1627264113
Houston,US,1.99,1,91.6,64,29.7633,-95.3633,1627264047
South Lake Tahoe,US,5.75,40,85.05,26,38.9332,-119.9844,1627264281
Khao Yoi,TH,5.06,100,83.98,76,13.2403,99.8243,1627264658
Mitú,CO,0.98,38,69.6,99,1.1983,-70.1733,1627264093
Flinders,AU,8.99,60,64.38,56,-34.5833,150.8552,1627264077
Río Gallegos,AR,19.57,0,33.85,80,-51.6226,-69.2181,1627264555
Kasulu,TZ,4.61,7,56.82,70,-4.5767,30.1025,1627264658
Lüderitz,NA,10.42,82,65.26,27,-26.6481,15.1594,1627264125
Dakar,SN,7.16,97,79.68,81,14.6937,-17.4441,1627264659
Jasper,US,1.01,0,79.68,80,37.2001,-94.3502,1627264659
Nemuro,JP,8.52,0,73.83,87,43.3236,145.575,1627264278
Kavieng,PG,4.25,30,83.79,68,-2.5744,150.7967,1627264103
Abu Samrah,SY,5.1,0,77.36,58,35.3029,37.1841,1627264659
Avarua,CK,10.36,20,78.85,73,-21.2078,-159.775,1627264093
Sisimiut,GL,5.73,100,49.55,72,66.9395,-53.6735,1627264126
Road Town,VG,17.56,94,77.2,80,18.4167,-64.6167,1627264660
Bela Vista,BR,5.61,2,72.63,45,-22.1089,-56.5211,1627264660
Kysyl-Syr,RU,8.12,0,84.43,42,63.8986,122.7617,1627264139
Maumere,ID,3.02,44,81.79,58,-8.6199,122.2111,1627264661
Gorin,RU,2.91,100,74.84,83,51.1983,136.6669,1627264661
Port-Cartier,CA,7.52,100,62.82,97,50.0334,-66.8654,1627264661
Tiarei,PF,3.56,3,82.42,68,-17.5333,-149.3333,1627264662
San Quintín,MX,7.94,100,68.52,82,30.4833,-115.95,1627264129
Sibolga,ID,1.03,53,83.46,68,1.7427,98.7792,1627264662
Leningradskiy,RU,6.58,99,39.92,85,69.3833,178.4167,1627264077
Bilma,NE,12.44,99,88.59,42,18.6853,12.9164,1627264131
College,US,3.44,75,72,53,64.8569,-147.8028,1627264173
Portland,US,3,0,90.37,41,45.5234,-122.6762,1627264496
Sioux Lookout,CA,9.22,40,75.58,46,50.1001,-91.917,1627264111
Llano de Piedra,PA,3.56,100,73.11,93,7.6667,-80.5667,1627264663
Raahe,FI,7.96,100,55.49,94,64.6833,24.4833,1627264663
Helena,US,3,0,89.35,18,46.5927,-112.0361,1627264663
Assiut,EG,9.35,0,78.98,54,27.181,31.1837,1627264664
Khatanga,RU,1.99,70,59.74,59,71.9667,102.5,1627264072
Moree,AU,3.44,74,57.22,51,-29.4667,149.85,1627264120
Acandí,CO,2.21,99,75.78,88,8.5063,-77.2778,1627264664
Jishu,CN,12.66,100,87.93,46,44.3167,126.8,1627264664
Biasca,CH,2.15,100,69.44,95,46.3597,8.9697,1627264665
Ulcinj,ME,4.59,3,77.22,52,41.9294,19.2244,1627264658
Pisco,PE,8.05,0,62.65,77,-13.7,-76.2167,1627264108
Kyra,RU,6.29,100,63.59,65,49.5776,111.9753,1627264665
Dodge City,US,1.99,96,78.94,86,37.7528,-100.0171,1627264613
Pevek,RU,10.11,79,35.94,88,69.7008,170.3133,1627264182
Bethel,US,2.46,0,75.02,90,41.3712,-73.414,1627263932
Evensk,RU,8.84,100,49.42,99,61.95,159.2333,1627264666
Constitución,CL,9.8,100,50.56,93,-35.3333,-72.4167,1627264434
Fallon,US,8.05,75,96.67,15,39.4735,-118.7774,1627264068
Rawson,AR,12.8,0,43.16,50,-43.3002,-65.1023,1627264666
Dickinson,US,1.01,79,90.18,78,29.4608,-95.0513,1627264458
Tasiilaq,GL,4.5,27,41.16,84,65.6145,-37.6368,1627264195
Tessalit,ML,8.55,88,91.78,32,20.1986,1.0114,1627264667
Kupang,ID,2.3,20,81.18,61,-10.1667,123.5833,1627264667
Namatanai,PG,1.66,98,82.9,72,-3.6667,152.4333,1627264280
Carnarvon,AU,3.44,90,59.07,61,-24.8667,113.6333,1627264127
Kaeo,NZ,12.55,16,59.54,84,-35.1,173.7833,1627264667
Kailua,US,12.66,75,83.14,70,21.4022,-157.7394,1627264668
Buraidah,SA,6.11,25,91.85,20,26.326,43.975,1627264668
Valle de Allende,MX,8.75,29,80.4,26,26.9333,-105.4,1627264668
Pacific Grove,US,5.01,75,81.28,86,36.6177,-121.9166,1627264208
São Filipe,CV,6.04,74,73.71,77,14.8961,-24.4956,1627264179
Ixtapa,MX,4,49,83.23,81,20.7,-105.2,1627264669
Sayyan,YE,2.37,80,60.17,75,15.1718,44.3244,1627264435
Nouadhibou,MR,17.27,20,69.78,94,20.931,-17.0347,1627264142
Caravelas,BR,5.61,2,68.83,84,-17.7125,-39.2481,1627264299
Bānsi,IN,8.95,100,84.67,76,27.1833,82.9333,1627264669
Bambous Virieux,MU,10.36,75,70.05,64,-20.3428,57.7575,1627264104
Kashgar,CN,6.71,0,81.61,29,39.4547,75.9797,1627264670
Griffith,US,3.44,1,83.89,68,41.5284,-87.4237,1627264670
Mae Hong Son,TH,0,75,77.14,88,19.3003,97.9685,1627264670
Olafsvik,IS,17.22,93,49.5,86,64.8945,-23.7142,1627264112
Jaicós,BR,9.89,6,74.39,44,-7.3592,-41.1378,1627264671
Rio Grande,BR,7.45,9,62.49,81,-32.035,-52.0986,1627264238
Thunder Bay,CA,6.91,40,78.98,37,48.4001,-89.3168,1627264671
Pavlodar,KZ,8.95,40,69.6,78,52.3,76.95,1627264671
Ponta do Sol,PT,2.21,3,75,81,32.6667,-17.1,1627264180
Port Hardy,CA,2.3,75,66.38,77,50.6996,-127.4199,1627264169
Freeport,US,4,1,81.18,88,40.6576,-73.5832,1627264068
Ouadda,CF,3,100,68.47,96,8.0777,22.4007,1627264111
Uchiza,PE,2.93,56,73.99,68,-8.4592,-76.4633,1627264672
Luocheng,CN,1.1,0,81.46,82,29.3848,104.0286,1627264672
Hay River,CA,8.05,20,60.78,55,60.8156,-115.7999,1627264582
Quatre Cocos,MU,11.05,7,69.91,61,-20.2078,57.7625,1627264673
Kimberley,ZA,8.05,54,40.69,42,-28.7323,24.7623,1627264673
La Palma,US,5.01,10,86.67,72,33.8464,-118.0467,1627264673
Khani,GE,3.02,41,58.57,89,41.9563,42.9566,1627264674
Kinkala,CG,3.71,25,66.51,84,-4.3614,14.7644,1627264674
Karratha,AU,2.06,78,77.04,36,-20.7377,116.8463,1627264098
Mahibadhoo,MV,10.36,100,82.2,77,3.7833,72.9667,1627263897
Padang,ID,0.74,16,84.25,68,-0.9492,100.3543,1627264163
Nome,US,11.5,90,51.87,82,64.5011,-165.4064,1627264188
Yulara,AU,8.05,0,64.24,29,-25.2406,130.9889,1627264103
Neuquén,AR,3.44,0,46.29,81,-38.9516,-68.0591,1627264503
Wajima,JP,3.44,40,88.48,58,37.4,136.9,1627264675
Nioro,GM,5.23,41,76.48,78,13.35,-15.75,1627264675
Kindu,CD,5.53,66,75.4,37,-2.95,25.95,1627264675
Ilhabela,BR,4.05,0,66.45,54,-23.7781,-45.3581,1627264676
Souillac,MU,10.36,75,70.18,64,-20.5167,57.5167,1627264126
Macao,MO,4.61,20,90.72,74,22.2006,113.5461,1627264676
Lorengau,PG,5.93,35,85.26,65,-2.0226,147.2712,1627264132
Oranjestad,AW,8.05,40,80.55,89,12.524,-70.027,1627264676
Cap Malheureux,MU,15.41,0,70.29,59,-19.9842,57.6142,1627264221
Luena,AO,5.57,6,48.02,61,-11.7833,19.9167,1627264677
Kruisfontein,ZA,11.59,100,54.59,34,-34.0033,24.7314,1627264107
